Year,AC_Name,PC_Name,Party,Votes,Position
2021,BHABANIPUR,Kolkata Dakshin,Others,9085.0,Others
2021,BHABANIPUR,Kolkata Dakshin,AITC,73505.0,Winner
2021,BHABANIPUR,Kolkata Dakshin,BJP,26428.0,Runner-Up
2021,BHABANIPUR,Kolkata Dakshin,Others,27443.0,Others
2021,BHABANIPUR,Kolkata Dakshin,AITC,85263.0,Winner
2021,BHABANIPUR,Kolkata Dakshin,BJP,44786.0,Runner-Up
2021,BHABANIPUR,Kolkata Dakshin,AITC,85263.0,Winner
2021,BHABANIPUR,Kolkata Dakshin,BJP,26428.0,Runner-Up
2021,BHABANIPUR,Kolkata Dakshin,Others,6889.0,Others
2024,Bhabanipur,Kolkata Dakshin,AITC,62461.0,Winner
2024,Bhabanipur,Kolkata Dakshin,BJP,54164.0,Runner-Up
2024,Bhabanipur,Kolkata Dakshin,Others,16508.0,Others
2009,Rashbehari,Kolkata Dakshin,AITC,76438.0,Winner
2009,Rashbehari,Kolkata Dakshin,CPM,40568.0,Runner-Up
2009,Rashbehari,Kolkata Dakshin,Others,10619.0,Others
2011,RASHBEHARI,Kolkata Dakshin,AITC,88892.0,Winner
2011,RASHBEHARI,Kolkata Dakshin,CPM,38998.0,Runner-Up
2011,RASHBEHARI,Kolkata Dakshin,Others,7713.0,Others
2014,Rashbehari,Kolkata Dakshin,AITC,50322.0,Winner
2014,Rashbehari,Kolkata Dakshin,BJP,41991.0,Runner-Up
2014,Rashbehari,Kolkata Dakshin,Others,45837.0,Others
2016,RASHBEHARI,Kolkata Dakshin,AITC,60857.0,Winner
2016,RASHBEHARI,Kolkata Dakshin,INC,46304.0,Runner-Up
2016,RASHBEHARI,Kolkata Dakshin,Others,30696.0,Others
2019,Rashbehari,Kolkata Dakshin,BJP,57976.0,Winner
2019,Rashbehari,Kolkata Dakshin,AITC,52555.0,Runner-Up
2019,Rashbehari,Kolkata Dakshin,Others,24998.0,Others
2021,RASHBEHARI,Kolkata Dakshin,AITC,65704.0,Winner
2021,RASHBEHARI,Kolkata Dakshin,BJP,44290.0,Runner-Up
2021,RASHBEHARI,Kolkata Dakshin,Others,14461.0,Others
2024,Rashbehari,Kolkata Dakshin,AITC,57905.0,Winner
2024,Rashbehari,Kolkata Dakshin,BJP,56214.0,Runner-Up
2024,Rashbehari,Kolkata Dakshin,Others,17604.0,Others
2009,Ballygunge,Kolkata Dakshin,AITC,78636.0,Winner
2009,Ballygunge,Kolkata Dakshin,CPM,43387.0,Runner-Up
2009,Ballygunge,Kolkata Dakshin,Others,11815.0,Others
2011,BALLYGUNGE,Kolkata Dakshin,AITC,88194.0,Winner
2011,BALLYGUNGE,Kolkata Dakshin,CPM,47009.0,Runner-Up
2011,BALLYGUNGE,Kolkata Dakshin,Others,10211.0,Others
2014,Ballygunge,Kolkata Dakshin,AITC,50719.0,Winner
2014,Ballygunge,Kolkata Dakshin,BJP,36337.0,Runner-Up
2014,Ballygunge,Kolkata Dakshin,Others,70988.0,Others
2016,BALLYGUNGE,Kolkata Dakshin,AITC,70083.0,Winner
2016,BALLYGUNGE,Kolkata Dakshin,INC,54858.0,Runner-Up
2016,BALLYGUNGE,Kolkata Dakshin,Others,29000.0,Others
2019,Ballygunge,Kolkata Dakshin,AITC,97302.0,Winner
2019,Ballygunge,Kolkata Dakshin,BJP,42850.0,Runner-Up
2019,Ballygunge,Kolkata Dakshin,Others,20986.0,Others
2021,BALLYGUNGE,Kolkata Dakshin,AITC,106585.0,Winner
2021,BALLYGUNGE,Kolkata Dakshin,BJP,31226.0,Runner-Up
2021,BALLYGUNGE,Kolkata Dakshin,Others,13151.0,Others
2024,Ballygunge,Kolkata Dakshin,AITC,95830.0,Winner
2024,Ballygunge,Kolkata Dakshin,BJP,39717.0,Runner-Up
2024,Ballygunge,Kolkata Dakshin,Others,22460.0,Others
2009,Chowrangee,Kolkata Uttar,AITC,63211.0,Winner
2009,Chowrangee,Kolkata Uttar,CPM,33123.0,Runner-Up
2009,Chowrangee,Kolkata Uttar,Others,8999.0,Others
2011,CHOWRANGEE,Kolkata Uttar,AITC,79450.0,Winner
2011,CHOWRANGEE,Kolkata Uttar,RJD,21711.0,Runner-Up
2011,CHOWRANGEE,Kolkata Uttar,Others,9345.0,Others
2014,Chowrangee,Kolkata Uttar,INC,35988.0,Winner
2014,Chowrangee,Kolkata Uttar,AITC,34440.0,Runner-Up
2014,Chowrangee,Kolkata Uttar,Others,44402.0,Others
2016,CHOWRANGEE,Kolkata Uttar,AITC,55119.0,Winner
2016,CHOWRANGEE,Kolkata Uttar,INC,41903.0,Runner-Up
2016,CHOWRANGEE,Kolkata Uttar,Others,19535.0,Others
2019,Chowrangee,Kolkata Uttar,AITC,65445.0,Winner
2019,Chowrangee,Kolkata Uttar,BJP,38885.0,Runner-Up
2019,Chowrangee,Kolkata Uttar,Others,13931.0,Others
2021,CHOWRANGEE,Kolkata Uttar,AITC,70101.0,Winner
2021,CHOWRANGEE,Kolkata Uttar,BJP,24757.0,Runner-Up
2021,CHOWRANGEE,Kolkata Uttar,Others,16635.0,Others
2024,Chowrangee,Kolkata Uttar,AITC,55031.0,Winner
2024,Chowrangee,Kolkata Uttar,BJP,40386.0,Runner-Up
2024,Chowrangee,Kolkata Uttar,Others,19778.0,Others
2009,Entally,Kolkata Uttar,AITC,60157.0,Winner
2009,Entally,Kolkata Uttar,CPM,54217.0,Runner-Up
2009,Entally,Kolkata Uttar,Others,9939.0,Others
2011,ENTALLY,Kolkata Uttar,AITC,75891.0,Winner
2011,ENTALLY,Kolkata Uttar,CPM,50895.0,Runner-Up
2011,ENTALLY,Kolkata Uttar,Others,8167.0,Others
2014,Entally,Kolkata Uttar,AITC,52651.0,Winner
2014,Entally,Kolkata Uttar,CPM,31237.0,Runner-Up
2014,Entally,Kolkata Uttar,Others,59252.0,Others
2016,ENTALLY,Kolkata Uttar,AITC,75841.0,Winner
2016,ENTALLY,Kolkata Uttar,CPM,47853.0,Runner-Up
2016,ENTALLY,Kolkata Uttar,Others,22242.0,Others
2019,Entally,Kolkata Uttar,AITC,89711.0,Winner
2019,Entally,Kolkata Uttar,BJP,48391.0,Runner-Up
2019,Entally,Kolkata Uttar,Others,18038.0,Others
2021,ENTALLY,Kolkata Uttar,AITC,101709.0,Winner
2021,ENTALLY,Kolkata Uttar,BJP,43452.0,Runner-Up
2021,ENTALLY,Kolkata Uttar,Others,11713.0,Others
2024,Entally,Kolkata Uttar,AITC,83446.0,Winner
2024,Entally,Kolkata Uttar,BJP,54137.0,Runner-Up
2024,Entally,Kolkata Uttar,Others,28017.0,Others
2009,Beleghata,Kolkata Uttar,AITC,74605.0,Winner
2009,Beleghata,Kolkata Uttar,CPM,67648.0,Runner-Up
2009,Beleghata,Kolkata Uttar,Others,9906.0,Others
2011,BELEGHATA,Kolkata Uttar,AITC,93185.0,Winner
2011,BELEGHATA,Kolkata Uttar,CPM,61497.0,Runner-Up
2011,BELEGHATA,Kolkata Uttar,Others,7513.0,Others
2014,Beleghata,Kolkata Uttar,AITC,66936.0,Winner
2014,Beleghata,Kolkata Uttar,CPM,37135.0,Runner-Up
2014,Beleghata,Kolkata Uttar,Others,61182.0,Others
2016,BELEGHATA,Kolkata Uttar,AITC,84843.0,Winner
2016,BELEGHATA,Kolkata Uttar,CPM,58664.0,Runner-Up
2016,BELEGHATA,Kolkata Uttar,Others,17106.0,Others
2019,Beleghata,Kolkata Uttar,AITC,97583.0,Winner
2019,Beleghata,Kolkata Uttar,BJP,46681.0,Runner-Up
2019,Beleghata,Kolkata Uttar,Others,20750.0,Others
2021,BELEGHATA,Kolkata Uttar,AITC,103182.0,Winner
2021,BELEGHATA,Kolkata Uttar,BJP,36042.0,Runner-Up
2021,BELEGHATA,Kolkata Uttar,Others,19282.0,Others
2024,Beleghata,Kolkata Uttar,AITC,92643.0,Winner
2024,Beleghata,Kolkata Uttar,BJP,46531.0,Runner-Up
2024,Beleghata,Kolkata Uttar,Others,27587.0,Others
2009,Jorasanko,Kolkata Uttar,AITC,58869.0,Winner
2009,Jorasanko,Kolkata Uttar,CPM,37154.0,Runner-Up
2009,Jorasanko,Kolkata Uttar,Others,10741.0,Others
2011,JORASANKO,Kolkata Uttar,AITC,57970.0,Winner
2011,JORASANKO,Kolkata Uttar,CPM,26461.0,Runner-Up
2011,JORASANKO,Kolkata Uttar,Others,28988.0,Others
2014,Jorasanko,Kolkata Uttar,BJP,45075.0,Winner
2014,Jorasanko,Kolkata Uttar,AITC,28593.0,Runner-Up
2014,Jorasanko,Kolkata Uttar,Others,39727.0,Others
2016,JORASANKO,Kolkata Uttar,AITC,44766.0,Winner
2016,JORASANKO,Kolkata Uttar,BJP,38476.0,Runner-Up
2016,JORASANKO,Kolkata Uttar,Others,21388.0,Others
2019,Jorasanko,Kolkata Uttar,BJP,51147.0,Winner
2019,Jorasanko,Kolkata Uttar,AITC,47265.0,Runner-Up
2019,Jorasanko,Kolkata Uttar,Others,11834.0,Others
2021,JORASANKO,Kolkata Uttar,AITC,52123.0,Winner
2021,JORASANKO,Kolkata Uttar,BJP,39380.0,Runner-Up
2021,JORASANKO,Kolkata Uttar,Others,7452.0,Others
2024,Jorasanko,Kolkata Uttar,BJP,49294.0,Winner
2024,Jorasanko,Kolkata Uttar,AITC,41893.0,Runner-Up
2024,Jorasanko,Kolkata Uttar,Others,13636.0,Others
2009,Shyampukur,Kolkata Uttar,AITC,60872.0,Winner
2009,Shyampukur,Kolkata Uttar,CPM,51550.0,Runner-Up
2009,Shyampukur,Kolkata Uttar,Others,7479.0,Others
2011,SHYAMPUKUR,Kolkata Uttar,AITC,72904.0,Winner
2011,SHYAMPUKUR,Kolkata Uttar,AIFB,45868.0,Runner-Up
2011,SHYAMPUKUR,Kolkata Uttar,Others,6994.0,Others
2014,Shyampukur,Kolkata Uttar,AITC,44515.0,Winner
2014,Shyampukur,Kolkata Uttar,BJP,37681.0,Runner-Up
2014,Shyampukur,Kolkata Uttar,Others,40900.0,Others
2016,SHYAMPUKUR,Kolkata Uttar,AITC,53507.0,Winner
2016,SHYAMPUKUR,Kolkata Uttar,AIFB,40352.0,Runner-Up
2016,SHYAMPUKUR,Kolkata Uttar,Others,22957.0,Others
2019,Shyampukur,Kolkata Uttar,BJP,48905.0,Winner
2019,Shyampukur,Kolkata Uttar,AITC,46735.0,Runner-Up
2019,Shyampukur,Kolkata Uttar,Others,19797.0,Others
2021,SHYAMPUKUR,Kolkata Uttar,AITC,55785.0,Winner
2021,SHYAMPUKUR,Kolkata Uttar,BJP,33265.0,Runner-Up
2021,SHYAMPUKUR,Kolkata Uttar,Others,13920.0,Others
2024,Shyampukur,Kolkata Uttar,BJP,49662.0,Winner
2024,Shyampukur,Kolkata Uttar,AITC,48063.0,Runner-Up
2024,Shyampukur,Kolkata Uttar,Others,11435.0,Others
2009,Maniktola,Kolkata Uttar,AITC,72760.0,Winner
2009,Maniktola,Kolkata Uttar,CPM,54488.0,Runner-Up
2009,Maniktola,Kolkata Uttar,Others,8742.0,Others
2011,MANIKTALA,Kolkata Uttar,AITC,89039.0,Winner
2011,MANIKTALA,Kolkata Uttar,CPM,52489.0,Runner-Up
2011,MANIKTALA,Kolkata Uttar,Others,6745.0,Others
2014,Maniktala,Kolkata Uttar,AITC,59003.0,Winner
2014,Maniktala,Kolkata Uttar,CPM,40218.0,Runner-Up
2014,Maniktala,Kolkata Uttar,Others,50560.0,Others
2016,MANIKTALA,Kolkata Uttar,AITC,73157.0,Winner
2016,MANIKTALA,Kolkata Uttar,CPM,47846.0,Runner-Up
2016,MANIKTALA,Kolkata Uttar,Others,23584.0,Others
2019,Maniktala,Kolkata Uttar,AITC,61134.0,Winner
2019,Maniktala,Kolkata Uttar,BJP,60273.0,Runner-Up
2019,Maniktala,Kolkata Uttar,Others,20993.0,Others
2021,MANIKTALA,Kolkata Uttar,AITC,67577.0,Winner
2021,MANIKTALA,Kolkata Uttar,BJP,47339.0,Runner-Up
2021,MANIKTALA,Kolkata Uttar,Others,18051.0,Others
2024,Maniktola,Kolkata Uttar,AITC,66964.0,Winner
2024,Maniktola,Kolkata Uttar,BJP,63389.0,Runner-Up
2024,Maniktola,Kolkata Uttar,Others,12132.0,Others
2009,Kashipur-belgachhia,Kolkata Uttar,AITC,69580.0,Winner
2009,Kashipur-belgachhia,Kolkata Uttar,CPM,52281.0,Runner-Up
2009,Kashipur-belgachhia,Kolkata Uttar,Others,9535.0,Others
2011,KASHIPUR-BELGACHIA,Kolkata Uttar,AITC,87408.0,Winner
2011,KASHIPUR-BELGACHIA,Kolkata Uttar,CPM,47124.0,Runner-Up
2011,KASHIPUR-BELGACHIA,Kolkata Uttar,Others,7189.0,Others
2014,Kashipur-Belgachia,Kolkata Uttar,AITC,57251.0,Winner
2014,Kashipur-Belgachia,Kolkata Uttar,BJP,37468.0,Runner-Up
2014,Kashipur-Belgachia,Kolkata Uttar,Others,50569.0,Others
2016,KASHIPUR-BELGACHIA,Kolkata Uttar,AITC,72264.0,Winner
2016,KASHIPUR-BELGACHIA,Kolkata Uttar,CPM,46454.0,Runner-Up
2016,KASHIPUR-BELGACHIA,Kolkata Uttar,Others,24673.0,Others
2019,Kashipur-Belgachia,Kolkata Uttar,AITC,66617.0,Winner
2019,Kashipur-Belgachia,Kolkata Uttar,BJP,53025.0,Runner-Up
2019,Kashipur-Belgachia,Kolkata Uttar,Others,22313.0,Others
2021,KASHIPUR-BELGACHIA,Kolkata Uttar,AITC,76182.0,Winner
2021,KASHIPUR-BELGACHIA,Kolkata Uttar,BJP,40792.0,Runner-Up
2021,KASHIPUR-BELGACHIA,Kolkata Uttar,Others,17898.0,Others
2024,Kashipur-Belgachhia,Kolkata Uttar,AITC,65137.0,Winner
2024,Kashipur-Belgachhia,Kolkata Uttar,BJP,57869.0,Runner-Up
2024,Kashipur-Belgachhia,Kolkata Uttar,Others,18432.0,Others
2009,Bally,Howrah,CPM,59626.0,Winner
2009,Bally,Howrah,AITC,31872.0,Runner-Up
2009,Bally,Howrah,Others,5995.0,Others
2011,BALLY,Howrah,AITC,52770.0,Winner
2011,BALLY,Howrah,CPM,46170.0,Runner-Up
2011,BALLY,Howrah,Others,5725.0,Others
2014,Bally,Howrah,AITC,43155.0,Winner
2014,Bally,Howrah,BJP,30916.0,Runner-Up
2014,Bally,Howrah,Others,37694.0,Others
2016,BALLY,Howrah,AITC,52702.0,Winner
2016,BALLY,Howrah,CPM,37299.0,Runner-Up
2016,BALLY,Howrah,Others,22191.0,Others
2019,Bally,Howrah,AITC,51951.0,Winner
2019,Bally,Howrah,BJP,51656.0,Runner-Up
2019,Bally,Howrah,Others,18808.0,Others
2021,BALLY,Howrah,AITC,53347.0,Winner
2021,BALLY,Howrah,BJP,47110.0,Runner-Up
2021,BALLY,Howrah,Others,25415.0,Others
2024,Bally,Howrah,AITC,52906.0,Winner
2024,Bally,Howrah,BJP,46414.0,Runner-Up
2024,Bally,Howrah,Others,18707.0,Others
2009,Howrah Uttar,Howrah,CPM,72093.0,Winner
2009,Howrah Uttar,Howrah,AITC,43991.0,Runner-Up
2009,Howrah Uttar,Howrah,Others,10044.0,Others
2011,HOWRAH UTTAR,Howrah,AITC,61466.0,Winner
2011,HOWRAH UTTAR,Howrah,CPM,41858.0,Runner-Up
2011,HOWRAH UTTAR,Howrah,Others,21470.0,Others
2014,Howrah Uttar,Howrah,AITC,57449.0,Winner
2014,Howrah Uttar,Howrah,BJP,45446.0,Runner-Up
2014,Howrah Uttar,Howrah,Others,32802.0,Others
2016,HOWRAH UTTAR,Howrah,AITC,61917.0,Winner
2016,HOWRAH UTTAR,Howrah,INC,34958.0,Runner-Up
2016,HOWRAH UTTAR,Howrah,Others,37771.0,Others
2019,Howrah Uttar,Howrah,BJP,67017.0,Winner
2019,Howrah Uttar,Howrah,AITC,64056.0,Runner-Up
2019,Howrah Uttar,Howrah,Others,13160.0,Others
2021,HOWRAH UTTAR,Howrah,AITC,71575.0,Winner
2021,HOWRAH UTTAR,Howrah,BJP,66053.0,Runner-Up
2021,HOWRAH UTTAR,Howrah,Others,12092.0,Others
2024,Howrah Uttar,Howrah,AITC,69826.0,Winner
2024,Howrah Uttar,Howrah,BJP,59795.0,Runner-Up
2024,Howrah Uttar,Howrah,Others,11725.0,Others
2009,Howrah madhya,Howrah,AITC,83840.0,Winner
2009,Howrah madhya,Howrah,CPM,56090.0,Runner-Up
2009,Howrah madhya,Howrah,Others,13896.0,Others
2011,HOWRAH MADHYA,Howrah,AITC,103184.0,Winner
2011,HOWRAH MADHYA,Howrah,CPM,52514.0,Runner-Up
2011,HOWRAH MADHYA,Howrah,Others,10544.0,Others
2014,Howrah madhya,Howrah,AITC,67107.0,Winner
2014,Howrah madhya,Howrah,BJP,45611.0,Runner-Up
2014,Howrah madhya,Howrah,Others,57835.0,Others
2016,HOWRAH MADHYA,Howrah,AITC,91800.0,Winner
2016,HOWRAH MADHYA,Howrah,JD(U),38806.0,Runner-Up
2016,HOWRAH MADHYA,Howrah,Others,45270.0,Others
2019,Howrah madhya,Howrah,AITC,87747.0,Winner
2019,Howrah madhya,Howrah,BJP,69673.0,Runner-Up
2019,Howrah madhya,Howrah,Others,26293.0,Others
2021,HOWRAH MADHYA,Howrah,AITC,111554.0,Winner
2021,HOWRAH MADHYA,Howrah,BJP,65007.0,Runner-Up
2021,HOWRAH MADHYA,Howrah,Others,18583.0,Others
2024,Howrah Madhya,Howrah,AITC,94136.0,Winner
2024,Howrah Madhya,Howrah,BJP,68821.0,Runner-Up
2024,Howrah Madhya,Howrah,Others,24626.0,Others
2009,Shibpur,Howrah,AITC,85710.0,Winner
2009,Shibpur,Howrah,CPM,57294.0,Runner-Up
2009,Shibpur,Howrah,Others,8491.0,Others
2011,SHIBPUR,Howrah,AITC,100739.0,Winner
2011,SHIBPUR,Howrah,AIFB,54335.0,Runner-Up
2011,SHIBPUR,Howrah,Others,7849.0,Others
2014,Shibpur,Howrah,AITC,81529.0,Winner
2014,Shibpur,Howrah,CPM,43322.0,Runner-Up
2014,Shibpur,Howrah,Others,41083.0,Others
2016,SHIBPUR,Howrah,AITC,88076.0,Winner
2016,SHIBPUR,Howrah,AIFB,61062.0,Runner-Up
2016,SHIBPUR,Howrah,Others,20701.0,Others
2019,Shibpur,Howrah,AITC,75355.0,Winner
2019,Shibpur,Howrah,BJP,66644.0,Runner-Up
2019,Shibpur,Howrah,Others,29664.0,Others
2021,SHIBPUR,Howrah,AITC,92372.0,Winner
2021,SHIBPUR,Howrah,BJP,59769.0,Runner-Up
2021,SHIBPUR,Howrah,Others,30078.0,Others
2024,Shibpur,Howrah,AITC,79464.0,Winner
2024,Shibpur,Howrah,BJP,65258.0,Runner-Up
2024,Shibpur,Howrah,Others,29926.0,Others
2009,Howrah Dakshin,Howrah,AITC,81425.0,Winner
2009,Howrah Dakshin,Howrah,CPM,80038.0,Runner-Up
2009,Howrah Dakshin,Howrah,Others,10343.0,Others
2011,HOWRAH DAKSHIN,Howrah,AITC,101066.0,Winner
2011,HOWRAH DAKSHIN,Howrah,CPM,69644.0,Runner-Up
2011,HOWRAH DAKSHIN,Howrah,Others,9561.0,Others
2014,Howrah Dakshin,Howrah,AITC,80453.0,Winner
2014,Howrah Dakshin,Howrah,CPM,54541.0,Runner-Up
2014,Howrah Dakshin,Howrah,Others,49068.0,Others
2016,HOWRAH DAKSHIN,Howrah,AITC,93689.0,Winner
2016,HOWRAH DAKSHIN,Howrah,CPM,77495.0,Runner-Up
2016,HOWRAH DAKSHIN,Howrah,Others,24854.0,Others
2019,Howrah Dakshin,Howrah,AITC,97699.0,Winner
2019,Howrah Dakshin,Howrah,BJP,73115.0,Runner-Up
2019,Howrah Dakshin,Howrah,Others,33495.0,Others
2021,HOWRAH DAKSHIN,Howrah,AITC,116839.0,Winner
2021,HOWRAH DAKSHIN,Howrah,BJP,66270.0,Runner-Up
2021,HOWRAH DAKSHIN,Howrah,Others,33831.0,Others
2024,Howrah Dakshin,Howrah,AITC,102763.0,Winner
2024,Howrah Dakshin,Howrah,BJP,73091.0,Runner-Up
2024,Howrah Dakshin,Howrah,Others,33835.0,Others
2009,Sankrail,Howrah,AITC,75340.0,Winner
2009,Sankrail,Howrah,CPM,59786.0,Runner-Up
2009,Sankrail,Howrah,Others,14460.0,Others
2011,SANKRAIL,Howrah,AITC,88029.0,Winner
2011,SANKRAIL,Howrah,CPM,70172.0,Runner-Up
2011,SANKRAIL,Howrah,Others,13696.0,Others
2014,Sankrail,Howrah,AITC,71965.0,Winner
2014,Sankrail,Howrah,CPM,55367.0,Runner-Up
2014,Sankrail,Howrah,Others,53129.0,Others
2016,SANKRAIL,Howrah,AITC,86212.0,Winner
2016,SANKRAIL,Howrah,CPM,71455.0,Runner-Up
2016,SANKRAIL,Howrah,Others,35207.0,Others
2019,Sankrail,Howrah,AITC,96124.0,Winner
2019,Sankrail,Howrah,BJP,75019.0,Runner-Up
2019,Sankrail,Howrah,Others,29918.0,Others
2021,SANKRAIL,Howrah,AITC,111888.0,Winner
2021,SANKRAIL,Howrah,BJP,71461.0,Runner-Up
2021,SANKRAIL,Howrah,Others,38778.0,Others
2024,Sankrail,Howrah,AITC,103109.0,Winner
2024,Sankrail,Howrah,BJP,76250.0,Runner-Up
2024,Sankrail,Howrah,Others,36709.0,Others
2009,Panchla,Howrah,AITC,75103.0,Winner
2009,Panchla,Howrah,CPM,54699.0,Runner-Up
2009,Panchla,Howrah,Others,13220.0,Others
2011,PANCHLA,Howrah,AITC,76628.0,Winner
2011,PANCHLA,Howrah,AIFB,64510.0,Runner-Up
2011,PANCHLA,Howrah,Others,26302.0,Others
2014,Panchla,Howrah,AITC,86681.0,Winner
2014,Panchla,Howrah,CPM,49720.0,Runner-Up
2014,Panchla,Howrah,Others,40162.0,Others
2016,PANCHLA,Howrah,AITC,101126.0,Winner
2016,PANCHLA,Howrah,AIFB,69199.0,Runner-Up
2016,PANCHLA,Howrah,Others,20543.0,Others
2019,Panchla,Howrah,AITC,103567.0,Winner
2019,Panchla,Howrah,BJP,69332.0,Runner-Up
2019,Panchla,Howrah,Others,21066.0,Others
2021,PANCHLA,Howrah,AITC,104572.0,Winner
2021,PANCHLA,Howrah,BJP,71821.0,Runner-Up
2021,PANCHLA,Howrah,Others,40616.0,Others
2024,Panchla,Howrah,AITC,123025.0,Winner
2024,Panchla,Howrah,BJP,66367.0,Runner-Up
2024,Panchla,Howrah,Others,22065.0,Others
2009,Uluberia Purba,Uluberia,AITC,65312.0,Winner
2009,Uluberia Purba,Uluberia,CPM,48438.0,Runner-Up
2009,Uluberia Purba,Uluberia,Others,18362.0,Others
2011,ULUBERIA PURBA,Uluberia,AITC,68975.0,Winner
2011,ULUBERIA PURBA,Uluberia,CPM,49391.0,Runner-Up
2011,ULUBERIA PURBA,Uluberia,Others,30044.0,Others
2014,Uluberia Purba,Uluberia,AITC,58702.0,Winner
2014,Uluberia Purba,Uluberia,CPM,43935.0,Runner-Up
2014,Uluberia Purba,Uluberia,Others,57993.0,Others
2016,ULUBERIA PURBA,Uluberia,AITC,72192.0,Winner
2016,ULUBERIA PURBA,Uluberia,CPM,55923.0,Runner-Up
2016,ULUBERIA PURBA,Uluberia,Others,42989.0,Others
2019,Uluberia Purba,Uluberia,AITC,86179.0,Winner
2019,Uluberia Purba,Uluberia,BJP,66391.0,Runner-Up
2019,Uluberia Purba,Uluberia,Others,26208.0,Others
2021,ULUBERIA PURBA,Uluberia,AITC,86526.0,Winner
2021,ULUBERIA PURBA,Uluberia,BJP,69400.0,Runner-Up
2021,ULUBERIA PURBA,Uluberia,Others,37095.0,Others
2024,Uluberia Purba,Uluberia,AITC,91924.0,Winner
2024,Uluberia Purba,Uluberia,BJP,67498.0,Runner-Up
2024,Uluberia Purba,Uluberia,Others,28341.0,Others
2009,Uluberia Uttar,Uluberia,AITC,65196.0,Winner
2009,Uluberia Uttar,Uluberia,CPM,54216.0,Runner-Up
2009,Uluberia Uttar,Uluberia,Others,11568.0,Others
2011,ULUBERIA UTTAR,Uluberia,AITC,76469.0,Winner
2011,ULUBERIA UTTAR,Uluberia,CPM,58021.0,Runner-Up
2011,ULUBERIA UTTAR,Uluberia,Others,11314.0,Others
2014,Uluberia Uttar,Uluberia,AITC,78080.0,Winner
2014,Uluberia Uttar,Uluberia,CPM,48172.0,Runner-Up
2014,Uluberia Uttar,Uluberia,Others,30049.0,Others
2016,ULUBERIA UTTAR,Uluberia,AITC,79390.0,Winner
2016,ULUBERIA UTTAR,Uluberia,INC,65208.0,Runner-Up
2016,ULUBERIA UTTAR,Uluberia,Others,20367.0,Others
2019,Uluberia Uttar,Uluberia,AITC,82871.0,Winner
2019,Uluberia Uttar,Uluberia,BJP,68888.0,Runner-Up
2019,Uluberia Uttar,Uluberia,Others,18259.0,Others
2021,ULUBERIA UTTAR,Uluberia,AITC,91501.0,Winner
2021,ULUBERIA UTTAR,Uluberia,BJP,70498.0,Runner-Up
2021,ULUBERIA UTTAR,Uluberia,Others,23781.0,Others
2024,Uluberia Uttar,Uluberia,AITC,89361.0,Winner
2024,Uluberia Uttar,Uluberia,BJP,71358.0,Runner-Up
2024,Uluberia Uttar,Uluberia,Others,19793.0,Others
2009,Uluberia Dakshin,Uluberia,AITC,64404.0,Winner
2009,Uluberia Dakshin,Uluberia,CPM,53146.0,Runner-Up
2009,Uluberia Dakshin,Uluberia,Others,12321.0,Others
2011,ULUBERIA DAKSHIN,Uluberia,AITC,73734.0,Winner
2011,ULUBERIA DAKSHIN,Uluberia,AIFB,61902.0,Runner-Up
2011,ULUBERIA DAKSHIN,Uluberia,Others,13393.0,Others
2014,Uluberia Dakshin,Uluberia,AITC,73158.0,Winner
2014,Uluberia Dakshin,Uluberia,CPM,53676.0,Runner-Up
2014,Uluberia Dakshin,Uluberia,Others,34523.0,Others
2016,ULUBERIA DAKSHIN,Uluberia,AITC,95902.0,Winner
2016,ULUBERIA DAKSHIN,Uluberia,AIFB,60558.0,Runner-Up
2016,ULUBERIA DAKSHIN,Uluberia,Others,20779.0,Others
2019,Uluberia Dakshin,Uluberia,AITC,96445.0,Winner
2019,Uluberia Dakshin,Uluberia,BJP,71498.0,Runner-Up
2019,Uluberia Dakshin,Uluberia,Others,17362.0,Others
2021,ULUBERIA DAKSHIN,Uluberia,AITC,101880.0,Winner
2021,ULUBERIA DAKSHIN,Uluberia,BJP,73442.0,Runner-Up
2021,ULUBERIA DAKSHIN,Uluberia,Others,26944.0,Others
2024,Uluberia Dakshin,Uluberia,AITC,103696.0,Winner
2024,Uluberia Dakshin,Uluberia,BJP,70563.0,Runner-Up
2024,Uluberia Dakshin,Uluberia,Others,24216.0,Others
2009,Shyampur,Uluberia,AITC,90895.0,Winner
2009,Shyampur,Uluberia,CPM,62079.0,Runner-Up
2009,Shyampur,Uluberia,Others,11809.0,Others
2011,SHYAMPUR,Uluberia,AITC,99501.0,Winner
2011,SHYAMPUR,Uluberia,AIFB,64882.0,Runner-Up
2011,SHYAMPUR,Uluberia,Others,11275.0,Others
2014,Shyampur,Uluberia,AITC,95803.0,Winner
2014,Shyampur,Uluberia,CPM,66951.0,Runner-Up
2014,Shyampur,Uluberia,Others,25973.0,Others
2016,SHYAMPUR,Uluberia,AITC,108619.0,Winner
2016,SHYAMPUR,Uluberia,INC,82033.0,Runner-Up
2016,SHYAMPUR,Uluberia,Others,12979.0,Others
2019,Shyampur,Uluberia,AITC,107867.0,Winner
2019,Shyampur,Uluberia,BJP,76573.0,Runner-Up
2019,Shyampur,Uluberia,Others,20211.0,Others
2021,SHYAMPUR,Uluberia,AITC,114804.0,Winner
2021,SHYAMPUR,Uluberia,BJP,83293.0,Runner-Up
2021,SHYAMPUR,Uluberia,Others,23792.0,Others
