Year,AC_Name,PC_Name,Party,Votes,Position
2019,Natabari,Cooch behar,BJP,104543.0,Winner
2019,Natabari,Cooch behar,AITC,86018.0,Runner-Up
2019,Natabari,Cooch behar,Others,15954.0,Others
2021,NATABARI,Coochbehar,BJP,111743.0,Winner
2021,NATABARI,Coochbehar,AITC,88303.0,Runner-Up
2021,NATABARI,Coochbehar,Others,17127.0,Others
2024,Natabari,Coochbehar,BJP,105063.0,Winner
2024,Natabari,Coochbehar,AITC,103917.0,Runner-Up
2024,Natabari,Coochbehar,Others,9261.0,Others
2009,Tufanganj,Alipurduars,RSP,59487.0,Winner
2009,Tufanganj,Alipurduars,AITC,56789.0,Runner-Up
2009,Tufanganj,Alipurduars,Others,32088.0,Others
2011,TUFANGANJ,Alipurduars,AITC,73721.0,Winner
2011,TUFANGANJ,Alipurduars,CPM,67539.0,Runner-Up
2011,TUFANGANJ,Alipurduars,Others,22500.0,Others
2014,Tufanganj,Alipurduars,AITC,70798.0,Winner
2014,Tufanganj,Alipurduars,RSP,53559.0,Runner-Up
2014,Tufanganj,Alipurduars,Others,48933.0,Others
2016,TUFANGANJ,Alipurduars,AITC,85052.0,Winner
2016,TUFANGANJ,Alipurduars,INC,69782.0,Runner-Up
2016,TUFANGANJ,Alipurduars,Others,37568.0,Others
2019,Tufanganj,Alipurduars,BJP,98776.0,Winner
2019,Tufanganj,Alipurduars,AITC,91290.0,Runner-Up
2019,Tufanganj,Alipurduars,Others,11311.0,Others
2021,TUFANGANJ,Alipurduars,BJP,114503.0,Winner
2021,TUFANGANJ,Alipurduars,AITC,83305.0,Runner-Up
2021,TUFANGANJ,Alipurduars,Others,11570.0,Others
2024,Tufanganj,Alipurduars,BJP,104302.0,Winner
2024,Tufanganj,Alipurduars,AITC,97807.0,Runner-Up
2024,Tufanganj,Alipurduars,Others,9233.0,Others
2009,Kumargram,Alipurduars,RSP,64354.0,Winner
2009,Kumargram,Alipurduars,AITC,42867.0,Runner-Up
2009,Kumargram,Alipurduars,Others,37060.0,Others
2011,KUMARGRAM,Alipurduars,RSP,71545.0,Winner
2011,KUMARGRAM,Alipurduars,AITC,58964.0,Runner-Up
2011,KUMARGRAM,Alipurduars,Others,44672.0,Others
2014,Kumargram,Alipurduars,RSP,63842.0,Winner
2014,Kumargram,Alipurduars,AITC,60660.0,Runner-Up
2014,Kumargram,Alipurduars,Others,69957.0,Others
2016,KUMARGRAM,Alipurduars,AITC,77668.0,Winner
2016,KUMARGRAM,Alipurduars,RSP,71515.0,Runner-Up
2016,KUMARGRAM,Alipurduars,Others,59223.0,Others
2019,Kumargram,Alipurduars,BJP,116023.0,Winner
2019,Kumargram,Alipurduars,AITC,87210.0,Runner-Up
2019,Kumargram,Alipurduars,Others,19448.0,Others
2021,KUMARGRAM,Alipurduars,BJP,111974.0,Winner
2021,KUMARGRAM,Alipurduars,AITC,100973.0,Runner-Up
2021,KUMARGRAM,Alipurduars,Others,19542.0,Others
2024,Kumargram,Alipurduars,BJP,110394.0,Winner
2024,Kumargram,Alipurduars,AITC,102753.0,Runner-Up
2024,Kumargram,Alipurduars,Others,13309.0,Others
2009,Kalchini,Alipurduars,BJP,46667.0,Winner
2009,Kalchini,Alipurduars,RSP,46203.0,Runner-Up
2009,Kalchini,Alipurduars,Others,44631.0,Others
2011,KALCHINI,Alipurduars,IND,46455.0,Winner
2011,KALCHINI,Alipurduars,RSP,39210.0,Runner-Up
2011,KALCHINI,Alipurduars,Others,68904.0,Others
2014,Kalchini,Alipurduars,BJP,67129.0,Winner
2014,Kalchini,Alipurduars,INC,31835.0,Runner-Up
2014,Kalchini,Alipurduars,Others,70981.0,Others
2016,KALCHINI,Alipurduars,AITC,62061.0,Winner
2016,KALCHINI,Alipurduars,BJP,60550.0,Runner-Up
2016,KALCHINI,Alipurduars,Others,54745.0,Others
2019,Kalchini,Alipurduars,BJP,111477.0,Winner
2019,Kalchini,Alipurduars,AITC,64045.0,Runner-Up
2019,Kalchini,Alipurduars,Others,14931.0,Others
2021,KALCHINI,Alipurduars,BJP,103104.0,Winner
2021,KALCHINI,Alipurduars,AITC,74528.0,Runner-Up
2021,KALCHINI,Alipurduars,Others,18183.0,Others
2024,Kalchini,Alipurduars,BJP,96391.0,Winner
2024,Kalchini,Alipurduars,AITC,81526.0,Runner-Up
2024,Kalchini,Alipurduars,Others,9112.0,Others
2009,Alipurduars,Alipurduars,RSP,71137.0,Winner
2009,Alipurduars,Alipurduars,AITC,59620.0,Runner-Up
2009,Alipurduars,Alipurduars,Others,26246.0,Others
2011,ALIPURDUARS,Alipurduars,INC,79605.0,Winner
2011,ALIPURDUARS,Alipurduars,RSP,72822.0,Runner-Up
2011,ALIPURDUARS,Alipurduars,Others,20542.0,Others
2014,Alipurduars,Alipurduars,RSP,62103.0,Winner
2014,Alipurduars,Alipurduars,AITC,57494.0,Runner-Up
2014,Alipurduars,Alipurduars,Others,68490.0,Others
2016,ALIPURDUARS,Alipurduars,AITC,89695.0,Winner
2016,ALIPURDUARS,Alipurduars,INC,77737.0,Runner-Up
2016,ALIPURDUARS,Alipurduars,Others,36014.0,Others
2019,Alipurduars,Alipurduars,BJP,114879.0,Winner
2019,Alipurduars,Alipurduars,AITC,77859.0,Runner-Up
2019,Alipurduars,Alipurduars,Others,18278.0,Others
2021,ALIPURDUARS,Alipurduars,BJP,107333.0,Winner
2021,ALIPURDUARS,Alipurduars,AITC,91326.0,Runner-Up
2021,ALIPURDUARS,Alipurduars,Others,24073.0,Others
2024,Alipurduars,Alipurduars,BJP,114821.0,Winner
2024,Alipurduars,Alipurduars,AITC,86257.0,Runner-Up
2024,Alipurduars,Alipurduars,Others,13036.0,Others
2009,Falakata,Alipurduars,RSP,65337.0,Winner
2009,Falakata,Alipurduars,AITC,48540.0,Runner-Up
2009,Falakata,Alipurduars,Others,28225.0,Others
2011,FALAKATA,Alipurduars,AITC,77821.0,Winner
2011,FALAKATA,Alipurduars,CPM,69775.0,Runner-Up
2011,FALAKATA,Alipurduars,Others,16430.0,Others
2014,Falakata,Alipurduars,AITC,74714.0,Winner
2014,Falakata,Alipurduars,RSP,60770.0,Runner-Up
2014,Falakata,Alipurduars,Others,47859.0,Others
2016,FALAKATA,Alipurduars,AITC,86647.0,Winner
2016,FALAKATA,Alipurduars,CPM,69808.0,Runner-Up
2016,FALAKATA,Alipurduars,Others,41485.0,Others
2019,Falakata,Alipurduars,BJP,109280.0,Winner
2019,Falakata,Alipurduars,AITC,82210.0,Runner-Up
2019,Falakata,Alipurduars,Others,17644.0,Others
