AC_No,AC_Name,PC_Name,Winner_Party,Winner_Votes,Runner_Votes,Runner_Party,Total_Votes,Year,Election_Type,Margin_Votes,Margin_Percent
284.0,DUBRAJPUR,Birbhum,AIFB,75347.0,72634.0,AITC,158064.0,2011,Vidhan Sabha,2713.0,1.7163933596517866
284.0,Dubrajpur,Birbhum,AITC,60834.0,52941.0,CPM,171476.0,2014,Lok Sabha,7893.0,4.6029765098322795
284.0,DUBRAJPUR,Birbhum,AITC,94309.0,54415.0,AIFB,182358.0,2016,Vidhan Sabha,39894.0,21.876747935379857
284.0,Dubrajpur,Birbhum,BJP,95466.0,80954.0,AITC,195949.0,2019,Lok Sabha,14512.0,7.40600870634706
284.0,DUBRAJPUR,Birbhum,BJP,98083.0,94220.0,AITC,204599.0,2021,Vidhan Sabha,3863.0,1.888083519469792
284.0,Dubrajpur,Birbhum,AITC,102935.0,84655.0,BJP,205499.0,2024,Lok Sabha,18280.0,8.895420415671122
285.0,Suri,Birbhum,AITC,74784.0,61951.0,CPM,152136.0,2009,Lok Sabha,12833.0,8.435215859494138
285.0,SURI,Birbhum,AITC,88244.0,69127.0,CPM,171123.0,2011,Vidhan Sabha,19117.0,11.171496525890735
285.0,Suri,Birbhum,AITC,73904.0,55937.0,CPM,188692.0,2014,Lok Sabha,17967.0,9.521866321836644
285.0,SURI,Birbhum,AITC,94036.0,62228.0,CPM,197240.0,2016,Vidhan Sabha,31808.0,16.12654633948489
285.0,Suri,Birbhum,BJP,100228.0,91097.0,AITC,214409.0,2019,Lok Sabha,9131.0,4.258683170948981
285.0,SURI,Birbhum,AITC,105871.0,98551.0,BJP,218590.0,2021,Vidhan Sabha,7320.0,3.348735074797566
285.0,Suri,Birbhum,AITC,106922.0,94423.0,BJP,222675.0,2024,Lok Sabha,12499.0,5.61311328168856
286.0,Bolpur,Bolpur,CPM,69391.0,63439.0,INC,153350.0,2009,Lok Sabha,5952.0,3.8813172481252036
286.0,BOLPUR,Bolpur,AITC,89394.0,72767.0,RSP,176993.0,2011,Vidhan Sabha,16627.0,9.394156831061116
286.0,Bolpur,Bolpur,AITC,89912.0,55938.0,CPM,192830.0,2014,Lok Sabha,33974.0,17.618627806876525
286.0,BOLPUR,Bolpur,AITC,113258.0,63231.0,RSP,206661.0,2016,Vidhan Sabha,50027.0,24.207276651133984
286.0,Bolpur,Bolpur,AITC,106172.0,90560.0,BJP,222034.0,2019,Lok Sabha,15612.0,7.03135555815776
286.0,BOLPUR,Bolpur,AITC,116443.0,94163.0,BJP,230260.0,2021,Vidhan Sabha,22280.0,9.67601841396682
286.0,Bolpur,Bolpur,AITC,129462.0,81115.0,BJP,230018.0,2024,Lok Sabha,48347.0,21.01878983383909
287.0,Nanoor,Bolpur,CPM,89049.0,62321.0,INC,167653.0,2009,Lok Sabha,26728.0,15.942452565716092
287.0,NANOOR,Bolpur,AITC,91818.0,85955.0,CPM,186584.0,2011,Vidhan Sabha,5863.0,3.1422844402521117
287.0,Nanoor,Bolpur,AITC,114631.0,52673.0,CPM,200800.0,2014,Lok Sabha,61958.0,30.85557768924303
287.0,NANOOR,Bolpur,CPM,104374.0,78644.0,AITC,208464.0,2016,Vidhan Sabha,25730.0,12.342658684473099
287.0,Nanoor,Bolpur,AITC,108717.0,90986.0,BJP,225545.0,2019,Lok Sabha,17731.0,7.861402380899599
287.0,NANOOR,Bolpur,AITC,112116.0,105446.0,BJP,235328.0,2021,Vidhan Sabha,6670.0,2.8343418547729127
287.0,Nanoor,Bolpur,AITC,148830.0,66620.0,BJP,228380.0,2024,Lok Sabha,82210.0,35.99702250634907
288.0,Labhpur,Bolpur,CPM,71723.0,58888.0,INC,146348.0,2009,Lok Sabha,12835.0,8.770191598108617
288.0,LABHPUR,Bolpur,AITC,78697.0,75691.0,CPM,165056.0,2011,Vidhan Sabha,3006.0,1.8212000775494377
